sample_id,status,note
train_000000,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000001,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000002,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000003,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000004,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000005,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000006,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000007,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000008,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000009,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000010,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000011,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000012,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000013,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000014,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000015,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000016,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000017,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000018,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000019,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000020,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000021,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000022,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000023,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000024,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000025,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000026,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000027,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000028,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000029,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000030,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
train_000031,NOT_RUN_IN_QC_STUB,Full float16 re-generation check is executed during full/smoke render pipeline.
