相对路径,文件作用,是否可复用,与新实验的关系,风险或注意事项
models/resnet_nyha_3class.py,"构建 torchvision ResNet18/34/50 并将 fc 替换为三分类线性层",是,"G0 与融合模型的 ResNet18 初始化依据","当前返回 logits；无 forward_features/return_features；不要原地改变历史 checkpoint 键"
models/nyha_backbone_factory.py,"统一图像分类 backbone 工厂、冻结与 dropout 支持",部分,"可复用 pretrained/freeze/dropout 参数解析","ResNet 路径最终仍委托 resnet_nyha_3class.py；正式 meanbg 配置 dropout 未设置"
datasets/nyha_3class_face_dataset.py,"读取固定 fold CSV、按 ID 加载 RGB 图像并执行 transform",是,"新融合 Dataset 应组合或复用其图像加载与样本顺序","当前 __getitem__ 不返回数值特征；未提供 fold-aware 特征文件选择"
trainers/nyha_3class_trainer.py,"单折训练、outer-val 宏 AUC 早停、checkpoint 与曲线",部分,"训练循环、loss、AMP、checkpoint 约定可借鉴","直接调用 model(images)，不能原样处理辅助向量；当前工作区已有用户未提交修改"
evaluators/nyha_3class_evaluator.py,"恢复 best checkpoint、softmax、ID 级预测与混淆矩阵",部分,"概率/ID/类别顺序与逐折评估可复用","直接调用 model(images)；无 ROC 表/图和 bootstrap CI"
metrics/classification_metrics.py,"三分类 OvR macro-AUC、分类指标和二分类辅助 AUC",是,"五个 variant 必须共用","输入必须是概率；类别缺失时相关 AUC 和 macro-AUC 返回 NaN"
losses/classification_losses.py,"fold 内类别权重与交叉熵/标签平滑实现",是,"G0 与四个辅助输入组共用同一 loss","正式 meanbg 配置为 weighted CE、无标签平滑"
scripts/train/train_nyha_3class_5fold.py,"固定五折入口、Dataset/Model/Trainer/Evaluator 装配",部分,"可复用配置解析、fold 循环、loader 与 loss 构建","单图路径不支持辅助向量；单图 variant 未在每 fold 重新隔离全局 RNG"
scripts/run/run_nyha3class_5fold_with_config.py,"任意 YAML 的运行包装器",部分,"可复用 CLI 风格和输出目录约定","正式实现需增加 variant/fold 特征源预检，且不得让已有目录被隐式覆盖"
scripts/run/run_exp_global224_imagenet_resnet18_nyha3class_5fold.py,"Global 基线预检与完整五折调度",是,"ID/标签/患者组/图像完整性预检模板","历史完成实验配置未保存 image_root；新实验必须显式指定 meanbg 根目录"
scripts/evaluate/summarize_nyha_3class_5fold.py,"拼接逐折预测并输出 OOF 与五折均值标准差",是,"统一五个 variant 的 OOF 汇总","当前工作区已有用户未提交修改；应增加概率和 fold/variant manifest 断言"
config/train/preprocess_ablation_resnet18/nyha_3class_resnet18_preproc_hybrid_imagenet_meanbg.yaml,"当前正式 meanbg ResNet18 配置",是,"推荐作为新 G0 的图像与训练协议基准","未找到对应已完成 experiments/preprocess_ablation_500Data 产物，必须重新训练匹配 G0"
config/train/nyha_3class_global224_imagenet_resnet18.yaml,"当前 500 例 strict-blackbg Global 配置",候选但不推荐为 meanbg G0,"用于还原通用训练协议和候选对照","image_root 指向 strict blackbg，不是计划中的 meanbg"
experiments/500Data/Global224_ImageNetResNet18_NYHA3Class_WeightedCE_5Fold/config.yaml,"已完成 500 例 ResNet18 历史实验的保存配置",证据用途,"证明历史训练超参数和 split","缺少 image_root；当前 split 也无 image_path，不能原样复现，更不是自包含 meanbg G0"
experiments/500Data/Global224_ImageNetResNet18_NYHA3Class_WeightedCE_5Fold/fold_0/checkpoints/best_macro_auc.pth,"历史 checkpoint 元数据样本",证据用途,"确认 fc.weight=[3,512]、epoch 与配置","仅审计 fold 0 元数据；不要将其直接加载到新包装器"
preprocessing/build_global_face_preprocess_ablation_from_intermediates.py,"从 aligned RGB 与 final mask 构建 meanbg 等消融图像",是,"meanbg 数据血缘","meanbg 是 ImageNet RGB 均值背景合成，不是对整图做标准化"
utils/preprocess_ablation_utils.py,"feather mask 与 ImageNet mean 背景合成工具",是,"解释 meanbg 颜色处理","背景 RGB 约为 [124,116,104]，边界有羽化混合"
data/processed/global_face/preprocess_ablation/hybrid_imagenet_meanbg/images/,"正式 Global meanbg 图像目录：500 个 PNG",是,"G0/G-Mask/G-Raw/G-A/G-B 共用图像输入","必须显式按 {ID}.png 加载；不要使用含 522 张的 strict-blackbg 目录作为队列"
data/processed/splits_500/,"固定普通五折：每折 400 train/100 val",是,"所有五个 variant 与 2A/2B 的唯一 outer split","fold 编号 0-4；角色由文件名表示，split CSV 无 split_role 列"
data/raw/label_raw_nyha2_remove22_sex_balanced_500.csv,"500 例 NYHA/SEX 标签来源",是,"标签血缘与 split 一致性核验","训练时 Dataset 实际从 fold CSV 读取已映射 label_3class"
data/processed/optical_observations_v1/regional_optical_observations.csv,"Stage 1 正式 500 例 Raw/EXIF/条件/QC 表",是,"G-Mask 和 G-Raw 数据源","必须 usecols 正向选择；同表含 camera_id、EXIF、条件与 QC"
data/processed/optical_observations_v1/feature_schema.json,"Stage 1 schema",是,"固定 Raw 六维顺序和缺失语义","forbidden 列表未覆盖所有非目标数值列；不能依赖负向筛选"
data/processed/optical_observations_v1/extraction_manifest.json,"Stage 1 正式 run manifest",是,"记录 500 ID、486/14 availability、无标签读取与输入哈希","manifest 声明 COMPLETE/PASS"
