ID,patient_group_id,parameter,issue_type,severity,raw_value,detail
100037382,100037382,FocalLengthIn35mmFilm,outside_plausible_range_1_to_2000,invalid,0,field_rule
100037382,100037382,ExposureProgram,legal_but_noninformative_enum_code,warning,0,field_rule
100037382,100037382,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
100037382,100037382,MaxApertureValue,outside_plausible_range_0.01_to_32,invalid,0,field_rule
100037382,100037382,DigitalZoomRatio,implausibly_large_or_device_scaled_zoom_ratio,warning,100,field_rule
100643124,100643124,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
100643124,100643124,SensingMethod,legal_but_noninformative_enum_code,warning,1,field_rule
100960732,100960732,FocalLengthIn35mmFilm,outside_plausible_range_1_to_2000,invalid,0,field_rule
100960732,100960732,ExposureProgram,legal_but_noninformative_enum_code,warning,0,field_rule
100960732,100960732,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
100960732,100960732,MaxApertureValue,outside_plausible_range_0.01_to_32,invalid,0,field_rule
100960732,100960732,DigitalZoomRatio,implausibly_large_or_device_scaled_zoom_ratio,warning,100,field_rule
101044067,101044067,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
101044067,101044067,SensingMethod,legal_but_noninformative_enum_code,warning,1,field_rule
101295911,101295911,FocalLengthIn35mmFilm,outside_plausible_range_1_to_2000,invalid,0,field_rule
101295911,101295911,ExposureProgram,legal_but_noninformative_enum_code,warning,0,field_rule
101295911,101295911,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
101295911,101295911,MaxApertureValue,outside_plausible_range_0.01_to_32,invalid,0,field_rule
101295911,101295911,DigitalZoomRatio,implausibly_large_or_device_scaled_zoom_ratio,warning,100,field_rule
101377780,101377780,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
101377780,101377780,SensingMethod,legal_but_noninformative_enum_code,warning,1,field_rule
101588739,101588739,FocalLengthIn35mmFilm,outside_plausible_range_1_to_2000,invalid,0,field_rule
101588739,101588739,ExposureProgram,legal_but_noninformative_enum_code,warning,0,field_rule
101588739,101588739,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
101588739,101588739,MaxApertureValue,outside_plausible_range_0.01_to_32,invalid,0,field_rule
101588739,101588739,DigitalZoomRatio,implausibly_large_or_device_scaled_zoom_ratio,warning,100,field_rule
101737098,101737098,FocalLengthIn35mmFilm,outside_plausible_range_1_to_2000,invalid,0,field_rule
101737098,101737098,ExposureProgram,legal_but_noninformative_enum_code,warning,0,field_rule
101737098,101737098,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
101737098,101737098,MaxApertureValue,outside_plausible_range_0.01_to_32,invalid,0,field_rule
101737098,101737098,DigitalZoomRatio,implausibly_large_or_device_scaled_zoom_ratio,warning,100,field_rule
102400553,102400553,LightSource,legal_but_noninformative_enum_code,warning,255,field_rule
102400553,102400553,SensingMethod,legal_but_noninformative_enum_code,warning,1,field_rule
