factor,model,channel,map_summary,spearman_rho,pearson_r,n,interpretation
input_fullface_validmask_linear_luminance_mean,B1_baseline,H_sensitive,map_mean,-0.42797230388921553,-0.41671505927584634,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,H_sensitive,map_median,-0.47921510086040336,-0.45823311810530004,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,H_sensitive,map_std,-0.4003862095448381,-0.375027482740631,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,H_sensitive,map_dynamic_range,-0.2944840579362317,-0.24667116826347593,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,M_sensitive,map_mean,-0.2743895455581822,-0.3043814562382669,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,M_sensitive,map_median,-0.28360951843807375,-0.32191011178586004,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,M_sensitive,map_std,-0.2453871575486302,-0.2659739966169914,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B1_baseline,M_sensitive,map_dynamic_range,-0.15925503702014807,-0.1873548848085361,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,H_sensitive,map_mean,-0.027628910515642063,-0.10205291953015456,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,H_sensitive,map_median,-0.07890866763467054,-0.11545496638030132,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,H_sensitive,map_std,-0.11524183696734785,-0.13967195061083873,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,H_sensitive,map_dynamic_range,-0.05043572174288697,-0.08600618637733248,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,M_sensitive,map_mean,-0.21577689510758044,-0.24479121537122903,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,M_sensitive,map_median,-0.2984696098784395,-0.31779345896164946,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,M_sensitive,map_std,-0.0294250777003108,-0.0627982105292115,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
input_fullface_validmask_linear_luminance_mean,B2_proposed_lambda_0p50,M_sensitive,map_dynamic_range,0.05073025092100368,0.020273204449616618,500,"descriptive technical association; not causal, clinical, or disease-discriminative evidence"
