pair_id,latent_id,m_hash_equal,h_hash_equal,mask_hash_equal
L000_A0_A1,L000,True,True,True
L000_A0_A2,L000,True,True,True
L000_A0_A3,L000,True,True,True
L000_A0_A4,L000,True,True,True
L001_A0_A1,L001,True,True,True
L001_A0_A2,L001,True,True,True
L001_A0_A3,L001,True,True,True
L001_A0_A4,L001,True,True,True
L002_A0_A1,L002,True,True,True
L002_A0_A2,L002,True,True,True
L002_A0_A3,L002,True,True,True
L002_A0_A4,L002,True,True,True
L003_A0_A1,L003,True,True,True
L003_A0_A2,L003,True,True,True
L003_A0_A3,L003,True,True,True
L003_A0_A4,L003,True,True,True
L004_A0_A1,L004,True,True,True
L004_A0_A2,L004,True,True,True
L004_A0_A3,L004,True,True,True
L004_A0_A4,L004,True,True,True
L005_A0_A1,L005,True,True,True
L005_A0_A2,L005,True,True,True
L005_A0_A3,L005,True,True,True
L005_A0_A4,L005,True,True,True
L006_A0_A1,L006,True,True,True
L006_A0_A2,L006,True,True,True
L006_A0_A3,L006,True,True,True
L006_A0_A4,L006,True,True,True
L007_A0_A1,L007,True,True,True
L007_A0_A2,L007,True,True,True
L007_A0_A3,L007,True,True,True
L007_A0_A4,L007,True,True,True
L008_A0_A1,L008,True,True,True
L008_A0_A2,L008,True,True,True
L008_A0_A3,L008,True,True,True
L008_A0_A4,L008,True,True,True
L009_A0_A1,L009,True,True,True
L009_A0_A2,L009,True,True,True
L009_A0_A3,L009,True,True,True
L009_A0_A4,L009,True,True,True
L010_A0_A1,L010,True,True,True
L010_A0_A2,L010,True,True,True
L010_A0_A3,L010,True,True,True
L010_A0_A4,L010,True,True,True
L011_A0_A1,L011,True,True,True
L011_A0_A2,L011,True,True,True
L011_A0_A3,L011,True,True,True
L011_A0_A4,L011,True,True,True
L012_A0_A1,L012,True,True,True
L012_A0_A2,L012,True,True,True
L012_A0_A3,L012,True,True,True
L012_A0_A4,L012,True,True,True
L013_A0_A1,L013,True,True,True
L013_A0_A2,L013,True,True,True
L013_A0_A3,L013,True,True,True
L013_A0_A4,L013,True,True,True
L014_A0_A1,L014,True,True,True
L014_A0_A2,L014,True,True,True
L014_A0_A3,L014,True,True,True
L014_A0_A4,L014,True,True,True
L015_A0_A1,L015,True,True,True
L015_A0_A2,L015,True,True,True
L015_A0_A3,L015,True,True,True
L015_A0_A4,L015,True,True,True
L016_A0_A1,L016,True,True,True
L016_A0_A2,L016,True,True,True
L016_A0_A3,L016,True,True,True
L016_A0_A4,L016,True,True,True
L017_A0_A1,L017,True,True,True
L017_A0_A2,L017,True,True,True
L017_A0_A3,L017,True,True,True
L017_A0_A4,L017,True,True,True
L018_A0_A1,L018,True,True,True
L018_A0_A2,L018,True,True,True
L018_A0_A3,L018,True,True,True
