字段,完整性,总体变异,设备内变异,设备系统偏移,与图像表现关系,推荐角色,结论依据
ExposureTime,522/522 (100.0%),"unique=37, std=0.00917, IQR=0.02001, MAD=0.01","HONOR/BVL-AN00: unique=29, std=0.00807, IQR=0.01, MAD=0.006667; Xiaomi/M2006J10C: unique=8, std=0.008208, IQR=0.01, MAD=0.01",median差(B-A)=0.003337; Hedges g=1.05; overlap=0.597,"最强关系=skin_linear_luminance_median, Spearman rho=-0.405",derived_only,逐图有变化，但网络中优先通过log2及relative_optical_exposure表达。
FNumber,522/522 (100.0%),"unique=3, std=0.01646, IQR=0.01, MAD=0","HONOR/BVL-AN00: unique=2, std=0.02019, IQR=0, MAD=0; Xiaomi/M2006J10C: unique=1, std=9.568e-15, IQR=0, MAD=0",median差(B-A)=-0.01; Hedges g=-0.957; overlap=0,"最强关系=skin_linear_luminance_median, Spearman rho=0.621",renderer_fixed_parameter,设备内几乎固定，不作为独立连续输入；作为renderer设备固定参数并参与相对进光量公式。
ISOSpeedRatings,522/522 (100.0%),"unique=179, std=241.5, IQR=240, MAD=105.5","HONOR/BVL-AN00: unique=16, std=277.7, IQR=300, MAD=120; Xiaomi/M2006J10C: unique=169, std=152.5, IQR=135.5, MAD=63",median差(B-A)=-128; Hedges g=-0.675; overlap=0.592,"最强关系=skin_linear_luminance_median, Spearman rho=0.226",derived_only,逐图有明显变化；使用log2_iso_gain表达增益，高ISO保留并做质量标记。
BrightnessValue,522/522 (100.0%),"unique=277, std=3.713, IQR=6.848, MAD=3.475","HONOR/BVL-AN00: unique=220, std=1.575, IQR=2.17, MAD=1.04; Xiaomi/M2006J10C: unique=57, std=1.296, IQR=1.7, MAD=0.8",median差(B-A)=6.84; Hedges g=4.71; overlap=0.0219,"最强关系=skin_linear_luminance_median, Spearman rho=-0.550",device_standardized_condition,存在设备系统偏移，不能跨设备直接输入；改用设备内稳健标准化值。
log2_exposure_time,522/522 (100.0%),"unique=37, std=0.7567, IQR=1.585, MAD=0.5853","HONOR/BVL-AN00: unique=29, std=0.7685, IQR=1, MAD=0.737; Xiaomi/M2006J10C: unique=8, std=0.5267, IQR=0.585, MAD=0.585",median差(B-A)=0.2633; Hedges g=1.06; overlap=0.58,未单独对应图像指标；由组成字段或一致性分析解释,derived_only,比秒值更适合数值表示，但V1中被relative_optical_exposure吸收。
log2_iso_gain,522/522 (100.0%),"unique=179, std=1.023, IQR=1.322, MAD=0.6799","HONOR/BVL-AN00: unique=16, std=1.087, IQR=1.322, MAD=0.6781; Xiaomi/M2006J10C: unique=169, std=0.8262, IQR=0.9998, MAD=0.5081",median差(B-A)=-0.737; Hedges g=-0.63; overlap=0.664,未单独对应图像指标；由组成字段或一致性分析解释,core_continuous_condition,V1核心增益条件。
EV100,522/522 (100.0%),"unique=39, std=0.7567, IQR=1.599, MAD=0.6005","HONOR/BVL-AN00: unique=31, std=0.7592, IQR=1, MAD=0.737; Xiaomi/M2006J10C: unique=8, std=0.5267, IQR=0.585, MAD=0.585",median差(B-A)=-0.2785; Hedges g=-1.11; overlap=0.566,未单独对应图像指标；由组成字段或一致性分析解释,quality_control_only,与ExposureTime和FNumber确定性相关，保留作物理审计，不与V1并列输入。
relative_optical_exposure,522/522 (100.0%),"unique=39, std=0.7567, IQR=1.599, MAD=0.6005","HONOR/BVL-AN00: unique=31, std=0.7592, IQR=1, MAD=0.737; Xiaomi/M2006J10C: unique=8, std=0.5267, IQR=0.585, MAD=0.585",median差(B-A)=0.2785; Hedges g=1.11; overlap=0.566,"最强关系=skin_linear_luminance_median, Spearman rho=-0.452",core_continuous_condition,合并曝光时间与光圈的光学进光条件，V1核心输入。
combined_exposure_gain,522/522 (100.0%),"unique=257, std=1.414, IQR=1.932, MAD=0.9862","HONOR/BVL-AN00: unique=65, std=1.517, IQR=2.322, MAD=1; Xiaomi/M2006J10C: unique=192, std=1.282, IQR=1.59, MAD=0.8305",median差(B-A)=0.1596; Hedges g=0.0829; overlap=0.801,"最强关系=skin_linear_luminance_median, Spearman rho=-0.023",quality_control_only,由relative_optical_exposure和log2_iso_gain相加，信息确定性冗余，作敏感性/QC。
brightness_apex_pred,522/522 (100.0%),"unique=258, std=1.414, IQR=1.932, MAD=0.9862","HONOR/BVL-AN00: unique=66, std=1.517, IQR=2.322, MAD=1; Xiaomi/M2006J10C: unique=192, std=1.282, IQR=1.59, MAD=0.8305",median差(B-A)=-0.1596; Hedges g=-0.0829; overlap=0.801,未单独对应图像指标；由组成字段或一致性分析解释,quality_control_only,公式预测值只用于BrightnessValue一致性审计。
brightness_residual,522/522 (100.0%),"unique=412, std=3.497, IQR=7.051, MAD=0.326","HONOR/BVL-AN00: unique=195, std=0.3433, IQR=0.1829, MAD=0.09; Xiaomi/M2006J10C: unique=217, std=0.4362, IQR=0.2544, MAD=0.1312",median差(B-A)=7.058; Hedges g=17.9; overlap=0.00353,未单独对应图像指标；由组成字段或一致性分析解释,quality_control_only,用于发现设备偏移和元数据/ISP不一致，不作生理表型输入。
device_centered_brightness,522/522 (100.0%),"unique=276, std=0.7421, IQR=0.974, MAD=0.477","HONOR/BVL-AN00: unique=220, std=0.7259, IQR=1, MAD=0.4793; Xiaomi/M2006J10C: unique=57, std=0.7622, IQR=1, MAD=0.4706",median差(B-A)=0; Hedges g=0.0116; overlap=0.849,未单独对应图像指标；由组成字段或一致性分析解释,device_standardized_condition,减少设备系统偏移后的V1亮度条件；未来训练时统计量必须仅由训练集拟合。
