ID,camera_id,image_shape_valid,bbox_in_bounds,coordinate_registration,forehead_content,cheek_left_content,cheek_right_content,issue_type,review_notes
100643124,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,三组框均落在预期面部区域；未见整体偏移或缩放。
203874389,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部以暴露皮肤为主，双颊位置合理；坐标配准正常。
9300518956,HONOR/BVL-AN00,TRUE,TRUE,PASS,FAIL,PASS,PASS,ROI_CONTENT_ONLY,三组框的坐标关系正常，但额部框主要覆盖可见头发；皮肤交集叠加仍保留部分可见头发，属于额部内容/修复掩膜问题，不是坐标系错位。
A001083428,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,三组框与额部、图像左颊和图像右颊位置一致。
A001808459,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部框包含少量发际边缘但以额部皮肤为主；双颊位置正常。
A001892094,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部和双颊框均与预期区域配准；未见系统性偏移。
A001938232,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部框下半部为清晰额部皮肤，双颊框位置合理；坐标一致。
A002038079,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部及双颊框落点正确，边界与224坐标系一致。
A002156070,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,三组框均覆盖预期解剖区域；未见整体平移或缩放。
A002366013,HONOR/BVL-AN00,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部和双颊位置合理；坐标配准正常。
100037382,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部以皮肤为主，双颊框位于鼻翼外侧；坐标一致。
203659997,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,三组框均落在预期区域；未见系统性错位。
206664979,Xiaomi/M2006J10C,TRUE,TRUE,PASS,FAIL,PASS,PASS,ROI_CONTENT_ONLY,三组框的坐标关系正常，但额部框主要覆盖可见头发；皮肤交集叠加仍保留可见头发，属于额部内容/修复掩膜问题，不是坐标系错位。
A000454833,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部与双颊框均在预期位置；背景与姿态未造成坐标偏移。
A001471135,Xiaomi/M2006J10C,TRUE,TRUE,PASS,QUESTIONABLE,PASS,PASS,ROI_CONTENT_ONLY,坐标配准正常；额部框同时包含暴露额部和较多发丝，属于ROI内容边界可疑。
A001610296,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部和双颊框位置正确；未见整体偏移。
A001628261,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,三组框与预期区域一致，额部有效区域清楚。
A001646267,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部及双颊框均正确配准；未见缩放或平移。
A001688703,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,三组框落点符合规则；坐标一致。
A001794983,Xiaomi/M2006J10C,TRUE,TRUE,PASS,PASS,PASS,PASS,NONE,额部和双颊框均在预期位置；坐标配准正常。
